City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Jasper,US,2022-11-09 04:17:10,37.2001,-94.3502,66.25,76,0,4.61
133,Talnakh,RU,2022-11-09 04:17:10,69.4865,88.3972,-15.92,98,55,3.15
134,Misratah,LY,2022-11-09 04:17:10,32.3754,15.0925,65.91,69,0,4.92
135,Eyl,SO,2022-11-09 04:12:16,7.9803,49.8164,78.53,76,15,5.7
136,Nizhniy Baskunchak,RU,2022-11-09 04:17:10,48.2198,46.8311,33.1,88,32,6.02
137,Olinda,BR,2022-11-09 04:17:11,-8.0089,-34.8553,78.53,73,40,4.61
138,Upernavik,GL,2022-11-09 04:17:11,72.7868,-56.1549,6.39,70,76,7.72
139,Husavik,IS,2022-11-09 04:17:11,66.0449,-17.3389,40.12,97,100,10.31
140,Kruisfontein,ZA,2022-11-09 04:18:12,-34.0033,24.7314,59.04,77,100,9.4
141,Trinidad,BO,2022-11-09 04:18:12,-14.8333,-64.9,76.24,50,1,0.92
142,Hay River,CA,2022-11-09 04:18:12,60.8156,-115.7999,3.18,78,20,12.66
143,Painesville,US,2022-11-09 04:15:21,41.7245,-81.2457,44.71,77,0,3.44
144,Carnarvon,AU,2022-11-09 04:18:13,-24.8667,113.6333,71.53,50,57,12.84
145,Prince Rupert,CA,2022-11-09 04:15:37,54.3161,-130.3201,29.89,52,100,14.97
146,Norman Wells,CA,2022-11-09 04:18:13,65.282,-126.8329,8.64,66,100,8.05
147,Souillac,MU,2022-11-09 04:18:13,-20.5167,57.5167,77.38,69,75,9.22
148,Darhan,MN,2022-11-09 04:18:14,49.4867,105.9228,31.39,66,100,4.76
149,Saldanha,ZA,2022-11-09 04:18:14,-33.0117,17.9442,61.03,64,79,5.93
150,Tiarei,PF,2022-11-09 04:18:14,-17.5333,-149.3333,80.62,76,87,5.68
151,Olafsvik,IS,2022-11-09 04:09:55,64.8945,-23.7142,42.35,85,100,13.47
152,Ambanja,MG,2022-11-09 04:18:14,-13.6833,48.45,76.89,79,73,1.36
153,Dukat,RU,2022-11-09 04:18:15,62.55,155.55,-5.57,99,98,4.56
154,Tres Lagoas,BR,2022-11-09 04:16:26,-20.7511,-51.6783,68.77,49,20,4.5
155,Shingu,JP,2022-11-09 04:09:49,33.7333,135.9833,65.79,52,0,3.94
156,Karratha,AU,2022-11-09 04:18:15,-20.7377,116.8463,86.29,29,0,13.94
157,Necochea,AR,2022-11-09 04:18:16,-38.5473,-58.7368,59.81,64,82,13.42
158,Moranbah,AU,2022-11-09 04:18:16,-22.0016,148.0466,88.36,28,0,11.54
159,Cherskiy,RU,2022-11-09 04:18:16,68.75,161.3,-10.12,100,99,2.46
160,Mmathubudukwane,BW,2022-11-09 04:18:17,-24.6,26.4333,66.25,68,6,2.21
161,Canmore,CA,2022-11-09 04:14:08,51.0834,-115.3521,-10.19,100,68,4.18
162,Jamestown,US,2022-11-09 04:18:17,42.097,-79.2353,38.84,74,0,10.36
163,Georgetown,MY,2022-11-09 04:15:05,5.4112,100.3354,86.9,74,20,8.05
164,Hofn,IS,2022-11-09 04:18:17,64.2539,-15.2082,42.24,83,100,17.05
165,Langham,CA,2022-11-09 04:15:32,52.3668,-106.9679,-4.18,97,100,8.12
166,Prainha,BR,2022-11-09 04:18:18,-1.8,-53.48,73.92,91,100,2.01
167,Port Elizabeth,ZA,2022-11-09 04:18:18,-33.918,25.5701,63.32,84,40,12.66
