City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
123,Port Shepstone,ZA,-30.7414,30.455,66.99,67,35,11.68,scattered clouds
124,Leshukonskoye,RU,64.8989,45.7622,22.96,87,57,9.13,broken clouds
125,Nemuro,JP,43.3236,145.575,42.31,61,98,28.01,overcast clouds
126,Lodja,CD,-3.4833,23.4333,68.99,100,100,1.25,overcast clouds
127,Winnemucca,US,40.973,-117.7357,31.84,62,0,2.3,clear sky
128,Yegros,PY,-26.45,-56.4,66.52,98,25,4.61,scattered clouds
129,Shihezi,CN,44.3,86.0333,38.79,43,0,3.56,clear sky
130,Camana,PE,-16.6228,-72.7111,63.91,87,17,7.07,few clouds
131,Gazimurskiy Zavod,RU,51.5461,118.3266,23.18,69,23,3.02,few clouds
132,Odienne,CI,9.51,-7.5692,70.93,88,91,2.93,overcast clouds
133,Villa Carlos Paz,AR,-31.4241,-64.4978,57.4,45,0,1.99,clear sky
134,Jacksonville,US,30.3322,-81.6556,57.0,71,0,10.36,clear sky
135,Manzhouli,CN,49.6,117.4333,24.49,62,6,6.15,clear sky
136,Atuona,PF,-9.8,-139.0333,77.54,80,20,18.12,light rain
137,San Cristobal,VE,7.7669,-72.225,66.78,98,100,0.98,overcast clouds
138,Barrow,US,71.2906,-156.7887,17.62,79,100,8.05,overcast clouds
139,Meulaboh,ID,4.1363,96.1285,76.78,88,100,1.1,light rain
140,Tamworth,GB,52.634,-1.6959,51.66,96,100,1.99,overcast clouds
141,Dalbandin,PK,28.8947,64.4101,62.1,50,69,8.14,broken clouds
142,Harbour Breton,CA,47.4833,-55.7983,40.06,86,100,16.06,light rain
143,Zhuhai,CN,22.2769,113.5678,81.86,83,40,10.36,scattered clouds
144,Aksu,CN,41.1231,80.2644,40.69,40,100,1.12,overcast clouds
145,Parabel,RU,58.6978,81.4825,22.57,95,100,8.84,light snow
146,Takoradi,GH,4.8845,-1.7554,77.68,85,35,1.68,scattered clouds
147,Eureka,US,40.8021,-124.1637,43.41,96,39,1.01,scattered clouds
148,Skoghall,SE,59.3232,13.4655,46.96,93,100,2.3,fog
149,Guerrero Negro,MX,27.9769,-114.0611,61.61,67,2,16.42,clear sky
150,Datong,CN,40.0936,113.2914,43.05,27,0,13.22,clear sky
151,Dalian,CN,38.9122,121.6022,49.93,57,0,20.13,clear sky
152,Innisfail,AU,-17.5333,146.0333,84.15,58,6,8.52,clear sky
153,Erenhot,CN,43.6475,111.9767,34.11,45,100,15.05,overcast clouds
154,Gold Coast,AU,-28.0,153.4333,86.77,67,55,20.24,broken clouds
155,Whitianga,NZ,-36.8333,175.7,67.55,68,23,4.47,few clouds
156,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,84,100,14.61,overcast clouds
157,Leningradskiy,RU,69.3833,178.4167,-4.16,93,64,8.77,broken clouds
158,Oga,IT,46.4631,10.347,36.81,98,100,4.36,overcast clouds
159,Boone,US,39.0334,-92.3335,32.4,61,100,6.46,overcast clouds
160,Mildura,AU,-34.2,142.15,69.76,52,75,19.57,light rain
161,Oranjestad,AW,12.524,-70.027,80.91,84,100,3.0,overcast clouds
162,Richards Bay,ZA,-28.783,32.0377,69.15,79,79,12.41,light rain
163,Pisco,PE,-13.7,-76.2167,61.56,89,71,2.71,broken clouds
164,Bulgan,MN,48.8125,103.5347,29.14,51,49,4.29,scattered clouds
165,Haines Junction,CA,60.7522,-137.5108,33.42,92,58,8.03,broken clouds
166,Kaz,RU,52.9113,87.3105,33.71,82,100,3.53,overcast clouds
167,Payson,US,40.0444,-111.7321,33.4,71,21,3.0,few clouds
168,Lagoa,PT,39.05,-27.9833,64.94,88,99,31.27,overcast clouds
169,Lavrentiya,RU,65.5833,-171.0,13.8,72,1,4.72,clear sky
170,Malartic,CA,48.1335,-78.1328,23.22,85,99,7.11,overcast clouds
171,Hami,CN,42.8,93.45,42.42,32,2,2.28,clear sky
172,Talara,PE,-4.5772,-81.2719,63.21,85,51,15.41,broken clouds
173,Marawi,PH,7.9986,124.2928,83.93,55,100,5.44,overcast clouds
174,Yima,CN,34.7381,111.8839,55.76,33,97,8.05,overcast clouds
175,Sistranda,NO,63.7256,8.834,44.56,72,100,7.52,overcast clouds
176,Sobolevo,RU,54.4299,31.8996,40.19,65,100,11.86,overcast clouds
177,Tasiilaq,GL,65.6145,-37.6368,37.56,94,100,38.18,moderate rain
178,Arraial Do Cabo,BR,-22.9661,-42.0278,73.31,94,86,18.81,overcast clouds
179,Chokurdakh,RU,70.6333,147.9167,-17.01,97,100,7.74,overcast clouds
180,Saldanha,ZA,-33.0117,17.9442,59.04,82,99,7.43,overcast clouds
181,La Ronge,CA,55.1001,-105.2842,17.82,86,100,8.05,mist
182,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.56,78,47,3.49,scattered clouds
183,Villiers,ZA,-27.0303,28.6006,56.08,82,70,11.5,broken clouds
184,Muros,ES,42.7762,-9.0603,50.85,95,97,3.89,overcast clouds
185,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,78.69,55,32,5.37,scattered clouds
186,Cayenne,GF,4.9333,-52.3333,77.04,94,20,0.0,few clouds
187,Natal,BR,-5.795,-35.2094,77.65,88,40,5.75,scattered clouds
188,Luena,AO,-11.7833,19.9167,62.06,97,94,2.82,light rain
189,Kekri,IN,25.9667,75.15,75.58,29,1,7.76,clear sky
190,Mathathane,BW,-22.2687,28.7495,68.54,78,22,19.51,few clouds
191,Namibe,AO,-15.1961,12.1522,64.06,74,12,6.2,few clouds
192,Biak,ID,-0.9131,122.8766,84.09,71,73,2.3,broken clouds
193,Tabou,CI,4.423,-7.3528,76.87,88,77,5.7,moderate rain
194,Kalabo,ZM,-14.97,22.6814,67.89,84,100,3.29,light rain
195,Bonthe,SL,7.5264,-12.505,73.22,96,97,2.15,heavy intensity rain
196,Magadan,RU,59.5667,150.8,14.85,91,99,7.87,overcast clouds
197,Laguna,US,38.421,-121.4238,51.31,66,0,0.0,clear sky
198,Gamboma,CG,-1.8764,15.8644,70.38,98,100,2.64,moderate rain
199,Bay Roberts,CA,47.5999,-53.2648,37.06,85,100,1.01,overcast clouds
200,Uyuni,BO,-20.4597,-66.825,39.88,20,0,10.11,clear sky
201,Muravlenko,RU,63.7898,74.523,-9.06,86,92,14.81,overcast clouds
202,Olafsvik,IS,64.8945,-23.7142,45.39,91,100,11.43,overcast clouds
203,Touros,BR,-5.1989,-35.4608,77.86,81,22,11.05,few clouds
204,Kasane,BW,-17.8167,25.15,68.04,84,61,2.39,broken clouds
205,Teodoro Sampaio,BR,-22.5325,-52.1675,72.43,81,28,1.48,heavy intensity rain
206,Port Blair,IN,11.6667,92.75,82.44,78,40,10.36,moderate rain
207,Srednekolymsk,RU,67.45,153.6833,-29.76,99,48,5.41,scattered clouds
208,Derzhavinsk,KZ,51.1,66.3167,38.32,93,100,24.76,overcast clouds
209,Zhanakorgan,KZ,43.9098,67.2495,45.36,69,100,32.1,overcast clouds
210,Quang Ngai,VN,15.1167,108.8,84.83,68,100,6.04,overcast clouds
211,Klaksvik,FO,62.2266,-6.589,50.92,98,100,15.73,overcast clouds
212,Umm Kaddadah,SD,13.6017,26.6876,65.62,26,12,12.26,few clouds
213,Kurilsk,RU,45.2333,147.8833,37.45,74,100,29.01,overcast clouds
